Convergence,,,,
,,,,
Axis 1 - Measures for the adaptation of the cummunity fishing fleet,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Silver Dawn Fishing Ltd,Silver Dawn  Safety Project,£468.00,£156.00,FEF0002
A N Other,Sunshine FY826,"£1,468.80",£489.60,FEF0028
A N Other,Boat - Springtide Insulated Bins,£571.50,£190.50,FEF0186
A N Other,Fish Traps,£626.18,£208.73,FEF0071
Crystal Sea Fishing,Crystal Sea Nozzle,"£15,750.00","£5,250.00",FEF0078
A N Other,Decommissioning,"£30,878.40","£46,317.60",FEF0099
A N Other,Decommissioning,"£5,600.00","£8,400.00",FEF0116
A N Other,Beulah - Improve quality and working conditions,"£3,975.00","£1,325.00",FEF0210
MFV Su Jean,Decommissioning,"£31,140.00","£46,710.00",FEF0126
A N Other,Decommissioning,"£14,000.00","£21,000.00",FEF0128
A N Other,Decommissioning,"£21,241.84","£31,862.75",FEF0145
J & M Trawlers,Decommissioning,"£18,489.60","£27,734.40",FEF0146
A N Other,Mizzen/Gantry on small coastal fishing vessel,£633.53,£211.18,FEF0172
A N Other,Decommissioning,"£25,200.00","£37,800.00",FEF0199
A N Other,Decommissioning,"£16,033.20","£24,049.80",FEF0202
Bridie May Ltd,Improvement to FV Myross Mist,"£10,125.00","£3,375.00",FEF0681
A N Other,Insulated Fish Containers,£457.20,£152.40,FEF0227
A N Other,Jigging Machines,"£2,071.33",£690.44,FEF0228
Fishing  Boat  ''Grandad'' - P Lapskas,Insulated Ice/fish Bins,£451.26,£150.42,FEF0230
A N Other,Insulation Bins,£546.48,£182.16,FEF0231
A N Other,Insulated Fish bins,£414.00,£138.00,FEF0234
Bridie May Ltd,Insulated Bins,£378.90,£126.30,FEF0235
K.S.Matthews Business,Belitronic Jigging Reels,"£2,114.08",£704.69,FEF0250
Scorpio,Scorpio Insulated Ice Bin Project,£472.50,£157.50,FEF0251
A N Other,Tegan P953,"£2,017.20",£672.40,FEF0252
A N Other,Re - Engine,"£6,146.40","£2,048.80",FEF0255
A N Other,Engine Replacement,"£1,173.00",£391.00,FEF0497
Polperro Fishing Company Limited,karen marie upgrade,"£4,146.90","£1,382.30",FEF1196
Fern Pit Cafe and Ferry,Automatic Jigging Machines,"£2,428.65",£809.55,FEF0300
A N Other,Insulated Fish Containers,£610.20,£203.40,FEF0318
A.F Trevarton & J Blackmore Business,Ring Net,"£20,158.54","£6,719.52",FEF0368
Bon Accord Fishing,Vessel Improvements,"£6,992.60","£6,992.60",FEF0373
Sarah-Beth,Sarah-Beth Upgrade,"£8,371.35","£2,790.45",FEF0380
Tallulah Fish,Tallulah Fish,£491.09,£163.70,FEF0383
A N Other,Treen : Line Fishing,£977.40,£325.80,FEF0386
A N Other,New Ring Net,"£11,039.40","£3,679.80",FEF0396
Scorpio,Replacing Scorpio Engine,"£3,044.90","£1,014.96",FEF0408
Cornish Tuna.com Ltd,Cornish Albacore Tuna Trolling Project,"£14,989.50","£4,996.50",FEF0411
ML Brokenshire,M Brokenshire - Cornish Ring Netting,"£12,922.65","£4,307.55",FEF0416
MM Fishing Partnership,Wheelhouse Upgrade,"£9,452.33","£3,150.78",FEF0418
Heather Anne,Heather Anne 2010,"£24,579.45","£8,193.15",FEF0420
The Fresh & Freeze Co Ltd,White Heather Conversion,"£29,579.70","£9,859.90",FEF0422
RJ Thomas Fishing,Sharicmar Re Engine,"£6,825.00","£2,275.00",FEF0445
TCQ McClure,Dyneema Warps,"£1,958.08",£652.69,FEF0446
A N Other,Mary D,"£7,056.00","£2,352.00",FEF0486
Bold Venture Fishing,Re - Engine,"£6,287.10","£2,095.70",FEF0499
Bold Venture Fishing,Crew Comfort / Safety,"£5,774.40","£1,924.80",FEF0500
Bold Venture Fishing,Re Engine (Helen Jane II),"£5,914.50","£1,971.50",FEF0501
Bold Venture Fishing,Crew Comfort / Safety (Helen Jane II),"£8,037.90","£2,679.30",FEF0502
A N Other,Boy Adam Engine Replacement Project,"£1,492.62",£497.54,FEF0511
Harvest Reaper,Net Hauler Upgrade,"£4,756.80","£1,585.60",FEF0515
A N Other,Replacement Engine,"£1,464.00",£488.00,FEF0578
A N Other,Replacement engine - Morgelyn FY 872,"£1,519.84",£506.61,FEF0590
AW Morton GRP Boat Repairs,Insulated Bins,£495.00,£165.00,FEF0628
A N Other,Benediction - Re-engining,"£1,343.06",£447.69,FEF0630
A N Other,Modernisation of 'New Harmony',"£4,401.90","£1,467.30",FEF0649
A N Other,Safety and Modernisation Project,£804.24,£268.08,FEF0682
A N Other,Little Pearl safety project,"£6,420.60","£2,140.20",FEF0709
A N Other,New Engine,"£1,785.00",£595.00,FEF0719
Kernowsashimi,Fishing Boat Engine Replacement,"£4,927.80","£1,642.60",FEF0721
A N Other,GaIWad-y-Mor safety project,"£6,573.15","£2,191.05",FEF0759
A N Other,STORM DAMAGE,£243.91,"£4,634.26",FEF1546
A N Other,Safety and Modernisation Project,£812.66,£270.89,FEF0778
Bold Venture Fishing,Safety Enhancement,£495.00,£165.00,FEF0628
A N Other,Tegen Mor Quality & Safety Project,"£9,326.25","£3,108.75",FEF1262
A N Other,Vessel upgrades for product quality and safety project,"£2,190.15",£730.05,FEF1314
Bridie May Ltd,Bow Thruster on FV Myross Mist,"£3,825.00","£1,275.00",FEF0846
A N Other,Engine Replacement for FV Helen Clare,"£7,188.55","£2,396.18",FEF0982
A N Other,Marijke WR115 Additional Safety Measures,"£12,282.64","£4,094.21",FEF0857
A N Other,Hauler Re-Placement,"£1,507.50",£502.50,FEF0927
A N Other,On Board Safety Enhancement and Efficiency Project,£377.99,£126.00,FEF0931
A N Other,MFV Evelyn - Fueld Efficiency Improvements,"£2,015.19",£671.73,FEF0885
A N Other,New Net Hauler,"£1,572.75",£524.25,FEF0915
A N Other,Ajax Hauler Upgrade,"£6,354.30","£2,118.10",FEF0916
A N Other,Zephyr New Engine,"£1,879.96",£626.65,FEF0955
North Cornish Catch,Engine replacement,"£1,932.83",£644.28,FEF0963
A N Other,Radar Re-Placement and Purchase of Auto Pilot,"£2,277.00",£759.00,FEF0968
A N Other,Vessel Modernisation,"£1,335.34",£445.11,FEF0972
A & PA Moore Boat Account,Engine Replacement,"£2,119.39",£706.46,FEF0975
A N Other,Engine Replacement,"£2,820.00",£940.00,FEF0979
A N Other,Engine Replacement,"£3,564.90","£1,188.30",FEF0980
Magic Pelagic Fishing Ltd,"Fishing for Cornish Sardines - Sustainablity, quality and safety","£42,113.37","£14,037.79",FEF0996
A N Other,OLEX - VICKY ANNA,"£2,020.50",£673.50,FEF1089
A N Other,Product quality enhancement,"£1,183.50",£394.50,FEF1101
A N Other,A.I.S. And Radar Safety Project,"£1,280.25",£426.75,FEF1102
A N Other,NET HAULER PRODUCT QUALITY ENHANCEMENT,"£1,251.00",£417.00,FEF1103
A N Other,Safety Rails and Liferaft,"£1,165.40",£388.47,FEF1133
Ocean Pride Fishing Ltd,Ocean pride Crew Safety & Fish Quality Project,"£5,437.50","£1,812.50",FEF1134
A N Other,REPLACEMENT OF ENGINE,"£1,665.00",£555.00,FEF1224
A N Other,TEGEN MOR ENGINE REPLACEMENT FOR EFFICIENCY AND SAFETY,"£4,974.44","£1,658.15",FEF1167
A N Other,REPLACEMENT ENGINE,"£4,168.06","£1,389.35",FEF1181
Bridie May ltd,safety and quality enhancement,"£2,544.68",£848.23,FEF1187
Threejays shellfish,Engine replacement,"£8,462.59","£2,820.86",FEF1192
A N Other,ENGINE REPLACEMENT,"£5,568.47","£1,856.16",FEF1200
A N Other,REBECCA TOO SAFETY UPGRADE,"£1,054.59",£351.53,FEF1204
A N Other,REBECCA TOO ENGINE REPLACEMENT,"£2,399.76",£799.92,FEF1205
G J NICHOLAS AND JG NICHOLAS,FULL ELECTRICAL REFIT GIRL PAMELA PZ6,"£3,150.00","£1,050.00",FEF1221
A N Other,Galcad Ora - New Wheelhouse,"£7,874.11","£2,624.70",FEF1227
Silver dawn fishing ltd,Stelissa fish quality improvement project,"£10,536.60","£3,512.20",FEF1229
A N Other,ENGINE REPLACEMENT,"£3,516.90",£185.10,FEF1384
AL AND JH PASCOE,KAIROS SAFE SUSTAINABLE HIGH QUALITY FISHING PROJECT,"£28,950.00","£9,650.00",FEF1381
A N Other,Gary M Fish Quality Improvement,"£6,627.00","£2,209.00",FEF1244
A N Other,Gemma PZ40: Replacement Engine Project,"£3,225.00","£1,075.00",FEF1247
A L SMITH / SEASPRAY,NET HAULER AND AIS SAFETY IMPROVEMENT,"£5,298.30","£1,766.10",FEF1252
A N Other,BOW THRUSTER,"£4,432.50","£1,477.50",FEF1290
A N Other,Engine Replacement,"£3,284.91","£1,094.97",FEF1263
A N Other,Brodi Sea Quality & Saftety Project,"£7,893.90","£2,631.30",FEF1265
St Clements Fishing,fish boxes - hake quality improvement,"£2,044.22",£681.41,FEF1267
A N Other,RE-ENGINE,"£2,204.00",£116.00,FEF1269
A N Other,Re-Engine,"£3,066.41","£1,022.14",FEF1270
A N Other,AIS and Radar safety project,"£1,080.00",£360.00,FEF1271
A N Other,Engine Replacement,"£2,610.00",£870.00,FEF1277
ARS,Frnaces B Wheelhouse Renewal,"£5,447.25","£1,815.75",FEF1280
A N Other,Sprigs of Heather Hauler Replacement,"£1,599.75",£533.25,FEF1281
A N Other,Engine Replacement,£131.96,"£2,507.28",FEF1309
Tamara fishing Ltd,Engine Replacement,"£2,973.11",£991.04,FEF1311
A N Other,replacement engine,"£2,094.00",£698.00,FEF1364
A N Other,lady jacqueline: replacement engine project,"£1,860.00",£620.00,FEF1404
A N Other,storm damage pz146,£25.65,£487.35,FEF1406
A N Other,storm damage,£243.90,"£4,634.10",FEF1637
A N Other,storm damage,£226.95,"£4,312.05",FEF1412
A N Other,replacement gear,£186.23,"£3,538.28",FEF1417
A N Other,replacement gear,£186.23,"£3,538.28",FEF1417
A N Other,seafoam lost gear,£154.20,"£2,929.80",FEF1421
mike harvey boat account,storm damage WH264 prospector,£150.00,"£2,850.00",FEF1424
A N Other,replacement pots due to storm,£186.43,"£3,542.08",FEF1429
A N Other,bob winnie FH691,£245.45,"£4,663.60",FEF1437
A N Other,safety and quality improvement,£502.19,£167.40,FEF1455
A N Other,replacement of gearlost during the recent storms,£224.40,"£4,263.60",FEF1457
A N Other,replacing storm damaged gear,£148.31,"£2,817.94",FEF1469
A N Other,replacing storm damaged gear,£148.31,"£2,817.83",FEF1473
A N Other,Evening Star,£133.80,"£2,542.20",FEF1484
silver queen,storm damage,£118.38,"£2,249.22",FEF1486
Patricia,Storm Damage Patricia Anne FH734,£173.10,"£3,288.88",FEF1488
b preston,"SAFETY, WORK CONDITION & QUALITY IMPROVEMENTS","£1,339.50",£70.50,FEF1495
A N Other,Strom Damage - Myross Msit,£246.51,"£4,683.69",FEF1504
A N Other,Storm Damage,£103.28,"£1,962.23",FEF1505
A N Other,storm damage,£189.90,"£3,608.10",FEF1512
A N Other,storm damage to gear,£115.74,"£2,199.06",FEF1516
trewarth fishing ltd,POT REPLACEMENT,£171.89,"£3,265.99",FEF1517
A N Other,Storm Damage,£162.60,"£3,089.40",FEF1519
A N Other,vickyanna,£212.73,"£4,041.87",FEF1521
A N Other,"quality, safety & selectivity improvements",£173.58,"£3,298.02",FEF1524
A N Other,re-engine of fv,£478.90,"£9,099.05",FEF1525
A N Other,Storm Damage,£228.00,"£4,332.00",FEF1528
ocean pride fishing ltd,OCEAN PRIDE CREW SAFETY AND FISH QUALITY PROJECT 2,"£10,537.02",£554.58,FEF1529
A N Other,Storm Damage,£66.00,"£1,254.00",FEF1530
rame painters,PH18,£57.51,"£1,092.75",FEF1537
GRP Boat Repairs,STORM DAMAGE,£107.32,"£2,039.00",FEF1543
Rae of Hope Fishing Ltd,Storm Damage - Northern Lights II,"£2,542.20",£133.80,FEF1555
a & pa moore fishing and crab,replacement net hauler,"£1,079.08",£359.69,FEF1558
A N Other,Storm Damage,£83.18,"£1,580.33",FEF1562
TAMARA FISHING LTD,REPLACEMENT OF POTS,"£2,850.00",£150.00,FEF0025
A N Other,net hauler & insulated tubs quality enhancement,£167.62,"£3,184.70",FEF1574
A N Other,lamorna fish box project,"£4,371.31",£230.07,FEF1607
A N Other,storm damage,£195.90,"£3,722.10",FEF1635
Mark Cox Fishing,Safety rails,£31.20,£592.80,FEF1642
A N Other,Storm Damage,£158.25,"£3,006.75",FEF1643
W. Stevenson & Sons Ltd,Fish Handling Equipment,£830.85,"£15,786.22",FEF1648
W. Stevenson & sons Ltd,Fish Handling Equipment,£787.05,"£14,953.91",FEF1649
W. Stevenson & Sons Ltd,Fish Handling Equipment,£830.85,"£15,786.22",FEF1648
W Stevenson & Sons Ltd,Fish Handling Equipment,"£1,159.25","£22,025.80",FEF1651
W. Stevenson & sons Ltd,Fish Handling Equipment,£794.35,"£15,092.63",FEF1652
Golden Fleece,Golden Fleece efficiency improvement project,£571.50,"£10,858.50",FEF0186
A N Other,Storm Damage,£260.92,"£4,957.42",FEF1715
Celtic Dawn,Celtic Dawn,£574.32,"£10,912.08",FEF1782
A N Other,storm damage,£228.57,"£4,342.82",FEF1739
A N Other,STORM DAMAGE,£140.14,"£2,662.66",FEF1743
A N Other,AIS and Tiller Pilot Safety Project,£35.01,£665.19,FEF1770
A N Other,Autopilot Safety Project,£30.00,£570.00,FEF1774
Mark Cox Fishing,Re-engine 2,£37.70,£716.30,FEF1786
A N Other,Re-engine,£197.69,"£3,756.09",FEF1788
Crystal Sea Fishing Ltd,Selective Gear Modification,£204.00,"£3,876.00",FEF1789
Threejays Shellfish,"Safety, Working condition and hygiene improvements",£343.47,"£6,525.93",FEF1824
A N Other,Safety and structure improvements for razor bill,£89.85,"£1,707.15",FEF1825
A N Other,Sea Glory Deck Improvements,£200.40,"£3,807.60",FEF1828
A N Other,Siene Net Hauler For Safety and Working Conditions,£661.22,"£12,563.18",FEF1829
ID MITCHELL FISHING LTD,FISH QUALITY IMPROVEMENTS,£114.00,"£2,166.00",FEF1830
A N Other,RE-ENGINE,£177.55,"£3,373.49",FEF1831
,,,,
"Axis 2 - Aquaculture, inland fishing processing and marketing",,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Vistgate Ltd T/A Ocean Fish,Factory Extension,"£742,887.50","£247,457.50",FEF0185
Celtic Fish & Game,Expansion to fish production area,"£238,059.30","£79,353.10",FEF0360
Blue Sail  Fish Company Ltd,Fish Boxes,£437.10,£145.70,FEF0223
Star Fish Of Looe,Unit upgrade,"£1,436.90",£478.97,FEF0254
Falmouth Fish Selling Company Ltd,Westcountry Added Value Cuttlefish,"£34,318.19","£11,439.40",FEF0281
Tasty Mac Pac Ltd,Mac Pac Quality Improvement,£902.10,£300.70,FEF0369
Seafood and Eat It,Extend Production Capacity,"£23,436.90","£7,812.30",FEF0690
Falfish Ltd,Falfish 2012 expansion - Phase I,"£360,024.64","£120,008.21",FEF0714
Falmouth Fish Selling Company Ltd,Falfish Extension,"£224,999.84","£74,999.95",FEF0893
Vistgate Ltd T/A Ocean Fish,Darfish Packing Machinery,"£156,289.20","£52,096.40",FEF1017
Matthew Stevens & Sons Ltd,Business expansion to improve product quality & promote growth,"£17,653.50","£5,884.50",FEF1019
Duchy of Cornwall Oyster Farm Ltd,Floating Upweller System (FLUPSY) for on-growing Pacific oyster seed,"£6,989.90","£2,329.97",FEF1037
Wild Harbour Fish Co Ltd,Expansion of processing unit for sustainably caught fish,"£6,685.16","£2,228.39",FEF1040
Falmouth Fish Selling Company Ltd,Falfish Crab Processing Project,"£29,385.00","£9,795.00",FEF1116
Fish for Thought  Ltd,Fish for Thought Added Value and Brand Leverage,"£28,644.30","£9,548.10",FEF1129
I marshall & son llp,Rock shellfish improvements grant,"£25,085.38","£8,361.79",FEF1275
Duchy of Cornwall Oyster Farm Ltd,processing / growing equipment for increased production of pacific osyters and mussels,"£27,459.61","£9,153.20",FEF1310
ralph handy-fishing,katies pride fy834,"£1,009.96",£336.65,FEF1590
W Harvey and Sons,Second shift increased production,"£6,415.40","£2,138.47",FEF1628
Seafood & Eat It Ltd,Waste Crab Meat Recovery,"£24,000.00","£8,000.00",FEF1011
,,,,
Axis 3 - Measures of common interest,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Royal National Lifeboat Institution,MOB Guardian,"£144,260.63","£48,086.88",FEF0033
Seafish Industry Authority,Tuna Sail Project,"£26,028.00", £-   ,FEF0051
Looe Harbour Commissioners,Upgrade of Harbour Store,"£6,252.38","£2,084.13",FEF0070
Seafish Industry Authority,Seabed Hazards Information Project 3 (SHIP3),"£50,460.00", £-   ,FEF0073
Mevagissey Harbour Trustees,New Fork Lift Truck,"£5,242.88","£1,747.62",FEF0152
Polperro Harbour Trust,Polperro Harbour Upgrades,"£3,712.50","£1,237.50",FEF0153
Cefas,Discard Reduction by South West Otter Trawlers,"£99,400.00", £-   ,FEF0195
Seafish Industry Authority,Responsible Fishing Scheme Expansion - Pan UK,"£10,185.00", £-   ,FEF0196
Looe Harbour Commissioners,Upgrade of Harbour Store,"£11,320.88","£3,773.63",FEF0240
"University of Greenwich, Maritime Institute",The role and contribution of women in the fishing industryThe proposed,"£5,212.50", £-   ,FEF0317
Cornish Fish Producers Organisation (CFPO),MSC Accreditation of Cornish Gill Net,"£11,040.00","£3,680.00",FEF0259
Seafish Industry Authority,Fishermen Training,"£72,499.50", £-   ,FEF0289
Seafish Industry Authority,Updating Content of Fishermen's basic safety training courses- PAN UK Project -PHASE 1,"£4,851.00", £-   ,FEF0290
Mevagissey Fisherman's Association,Meva Ice Tubes,"£2,903.25",£967.75,FEF0382
Gorran Haven Harbour & Fishermans Society Ltd,Refurbishment and upgrade of Big Cellars Roof,"£5,069.87","£1,689.96",FEF0397
Looe Harbour Commissioners,Upgrade of Harbour Store,"£12,143.81","£4,047.94",FEF0399
Mevagissey Harbour Trustees,Fishermans Storage Lofts,"£37,930.88","£12,643.63",FEF0401
A N Other,Cadgwith Cove Ice Plant Project,"£5,625.00","£1,875.00",FEF0414
Padstow Harbour Commissioners,Powered Landing Davits – Padstow Harbour,"£16,420.00","£8,210.00",FEF0421
Cornish Ice Company Ltd,Ice Delivery System,"£5,812.50","£1,937.50",FEF0436
Mevagissey Harbour Trustees,Salt Water Pump Fish Landing Quay,"£3,410.58", £-   ,FEF0444
Looe Harbour Commissioners,Upgrade of electronic Auction Equipment,"£2,813.27", £-   ,FEF0453
Looe Fish Selling Ltd,Replacement of server and workstations,"£3,227.77","£1,075.92",FEF0454
Cornwall Council,Porthmeor Cellars,"£250,009.12", £-   ,FEF0456
Looe Harbour Commissioners,Demolition and rebuild of Harbour premises,"£156,142.86","£52,047.62",FEF0462
Cadgwith Winch,Innovation - Cadgwith Cove Tractor / Transport,"£24,300.00","£24,300.00",FEF0527
Wild Harbour Fish Company,INNOVATION - Holding Wild Live Fish,"£30,059.53","£10,019.84",FEF0541
Seafish Industry Authority,INNOVATION - Square mesh Codend Selectivity trial,"£18,825.00", £-   ,FEF0602
Looe Fish Selling Ltd,Mevagissey Boxes,"£1,073.25",£357.75,FEF0650
Seafish Industry Authority,Fishermen's Safety Refresher Training - Convergence,"£47,850.00", £-   ,FEF0659
Seafish Industry Authority,New Entrant Training - Convergence,"£24,240.00", £-   ,FEF0660
Newlyn Pier and Harbour Commissioners,Newlyn Fish Market Weighing and Grading,"£197,652.00", £-   ,FEF0698
Cornwall Council,Newquay Harbour Improvements Projects,"£724,791.00", £-   ,FEF0699
Polperro Harbour Trust,Fork Lift Truck Replacement,"£6,148.13","£2,049.38",FEF0757
Mevagissey Fisherman's Association,Meva Ice Tubs 2,"£1,858.50",£619.50,FEF0750
Cornish Fish Producers Organisation (CFPO),CFPO I.T. System,"£6,798.38","£2,266.13",FEF0773
Looe Harbour Commissioners,Proposed upgrade of Electronic Auction Equipment (2),"£16,188.98","£5,396.33",FEF0774
"Padstow Harbour Commissioners,",Provision of Modern Ice Plant for Fisheries Use,"£216,926.99", £-   ,FEF0888
Sea Fish Industry Authority,New Entrant Training,"£24,240.00", £-   ,FEF0660
Sea Fish Industry Authority,Fishermen's Training,"£65,625.00", £-   ,FEF0904
NFFO Limited,PFD Pilot,"£34,500.00", £-   ,FEF0921
Looe Fish Selling Ltd,Replacement of obsolete and no longer supported auction software and accessories to include provisio,"£16,875.00","£5,625.00",FEF0951
Looe Harbour Commissioners,Replacement of obsolete and no longer supported auction software and accessories to include provisio,"£58,921.50", £-   ,FEF0965
Mevagissey Harbour Board Trust,Fish Jetty Extension,"£201,599.90", £-   ,FEF1045
Cornish Ice Company Limited,Cornish ice plant : to 2030 and beyond,"£475,560.18","£158,520.06",FEF1051
Mevagissey Harbour Board Trust,"storage lofts, aquarium quay","£101,720.10", £-   ,FEF1114
Cefas,Shark by watch 2 - understanding by catch of elasmobranchs in UK waters: A nationwiide programme wit,"£169,533.75", £-   ,FEF1130
Sea Fish Industry Authority,New Entrant Training,"£71,625.00","£18,336.00",FEF1324
Hayle Harbour Authority,Hayle Fishermans Pontoon,"£80,261.99", £-   ,FEF1330
isles of scilly IFCA,isles of scilly lobster & crawfish tagging project,"£45,308.90", £-   ,FEF1363
Newlyn Pier and Harbour Commissioners,Newlyn Lighting & Electrical Upgrade,"£202,726.91", £-   ,FEF1367
w. stevenson & sons ltd,afish software,"£18,991.69",£999.56,FEF1496
Polperro Harbour Trust,polperro fishermans fish boxes,"£16,200.00", £-   ,FEF1454
padstow harbour,fishing gear landing davits,"£1,105.35","£21,001.65",FEF1589
west country rivers trust,ladyvale bridge fish migration improvement,"£21,947.22", £-   ,FEF1608
Cornwall Council,Newquay Harbour Bait Store Development,£356.06,"£6,765.19",FEF1751
Newlyn Pier & Harbour Commissioners,Newlyn Harbour Masters Office Upgrade,"£2,366.36","£44,960.77",FEF1779
,,,,
Axis 4 - Sustainable development of fisheries areas,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
Surfers Against Sewage,SAS Education Programme,"£5,371.57","£1,790.52",FEF1065
Cornwall Rural Community Council,Cornwall Fisheries Animateur,"£89,883.00","£29,961.00",FEF0792
Newlyn Fish Festival,Newlyn Fish Festival Enhancements,"£1,031.64",£343.88,FEF0854
Coverack Harbour Company,Coverack Harbour Enhancements,"£58,444.50","£19,478.41",FEF0856
Cornwall and Isles of Scilly FLAG,Polpeor Cove Winch,"£6,659.55","£2,219.85",FEF0932
Mevagissey Harbour Trust,CCT Security System,"£9,821.63","£3,273.88",FEF0942
Boraise Smart John Wells Trust,Porthmeor Cellars fishing gear display,"£15,000.01","£5,000.02",FEF0943
Seafood Cornwall Training Ltd,Seafood Cornwall Training Hub,"£18,676.54","£6,225.51",FEF0926
Looe Harbour Commissioners,Looe Harbour Quayside Centre,"£81,750.11","£27,249.85",FEF0936
The Saint Mawes Pier & Harbour Company,Harbour Enhancements,"£27,319.65","£9,106.55",FEF0937
St Ives Archive,St Ives Heritage Fishing Industry Project,"£25,127.47","£8,375.84",FEF0938
Seafood Cornwall Training Ltd,Net to Plate,"£9,621.19","£3,207.05",FEF0939
The princes trust,Get into Commercial sea fishing course,"£30,952.72","£10,317.59",FEF0940
South West Handline Fishermans Assoc,South West Handline Fisherman's Association,"£50,144.06","£16,714.69",FEF0970
The Isles of Scilly Fishermen's Association,Scilly Fish,"£3,879.00","£1,293.00",FEF1018
North Cornish Catch,North Cornish Catch - Teaching Sustainability in Fisheries,"£4,493.65","£1,497.88",FEF1002
Porthleven Food & Music festival,"Sourced from the sea, Porthleven Food & Music Festival","£8,763.00","£2,921.00",FEF1038
Rame Peninsula Fisherman's Association,Rame Fish,"£59,113.50","£19,704.47",FEF1039
Winghams Fresh Fish,Promoting Locally Caught Seafood,£247.50,£247.50,FEF1052
Portloe Harbour Commissioners,Portloe Fisherman's Stores and Winch Upgrade,"£8,458.51","£2,819.23",FEF1084
duchy fish quota company,development and outreach,"£14,674.50","£4,891.50",FEF1085
Cornish Fish Producers Org,Cornish fish producers aorganisation development and outreach,"£13,358.25","£4,452.75",FEF1087
Mousehole Harbour Authority,Mousehole Harbour & Community Enhancement,"£9,406.90","£3,135.63",FEF1099
Cadgwith Winch Committee,Cadgwith Fishermen Development,"£4,932.39","£1,644.13",FEF1100
Mevagissey Harbour,South Pier Fish Landing Crane,"£21,572.23","£7,190.64",FEF1106
Cornwall Council,Newquay Harbour  - South Pier Shelter,"£9,155.36","£3,051.80",FEF1131
Cornwall FLAG,Management & Admin Costs,"£146,250.00","£48,750.00",FEF1132
Dreckly Fish,dreckly fish,"£5,426.21","£1,808.74",FEF1173
Cornwall Wildlife Trust,Cornwall's Good Fish Guide,"£48,946.57","£16,315.52",FEF1178
The Princes Trust,Futures with Fish : From Net to Plate,"£59,465.00","£19,821.66",FEF1184
Surfers Against Sewage,Cornwall's Marine Life - Community Information Panels,"£22,296.39","£7,432.13",FEF1186
Looe Harbour Commissioners,Lower Quay Pontoons,"£79,748.06","£26,582.69",FEF1238
st ives fishing community association,st ives fishing community association rowing gig,"£5,701.80","£1,900.60",FEF1385
W M Henry and Sons,Pontoon Development - Security and Qality Enhancement (Mylor),"£8,853.00","£2,951.00",FEF1380
Sennen Cove Harbour Commissioners,Sennen Cove Harbour processing facility,"£49,266.72","£16,422.24",FEF1235
Brisons Veor Charitable Trust,The Brisons Veor Renovation Project,"£11,493.36","£3,831.14",FEF1237
Hayle Fishermens Association,Hayle Fishermens association Diesel Fuel Bunker,"£11,280.24","£3,760.08",FEF1246
