Convergence,,,,
South Western Fish Producer Organisation Ltd,Channel beam trawler roller ball foot rope,"£22,312.00","£22,312.00",FEF0738
Dorset Fish and Shellfish Ltd,"Shellfish and Fish Processing Unit,","£6,036.10","£6,036.10",FEF0739
Grimsby Fish Merchants Association Limited,Traditional Fish Smoking - National Education Project,"£9,923.75","£9,923.75",FEF0745
Whitby Fish Sales Limited,MEANS OF DEPOSITING ICE AT WHITBY & SCARBOROUGH HARBO,"£1,372.84","£1,372.84",FEF0764
Whitby & District Fishing Industry Training School,Fishermans Vacancy Matching Service,"£18,035.00","£18,035.00",FEF0788
Scarborough Borough Council,Landing Davits,"£8,565.86","£8,565.86",FEF0832
Monteum Ltd,Improvements to Fisherman's Wharf,"£20,630.25","£20,630.25",FEF0839
NFFO Limited,PFD Pilot,"£24,610.00", £-   ,FEF0884
Sutton Harbour Company,Chill Chain Regeneration,"£154,845.57","£154,845.57",FEF0887
Holy Island of Lindisfarne Community Development T,Regeneration of Holy Island Harbour,"£99,819.43", £-   ,FEF0897
Grimsby Fish Dock Enterprises Ltd,GRIMSBY FISH MARKET MODERNISATION PHASE 2,"£92,548.25","£92,548.25",FEF0898
Sea Fish Industry Authority,Introduction to Commercial Fishing,"£48,480.00", £-   ,FEF0638
Sea Fish Industry Authority,Fishermen's Training,"£246,875.00", £-   ,FEF0903
Blyth Harbour Commission,Blyth Fisheries Support Project,"£305,458.59","£305,458.59",FEF0994
Manchester City Council,Manchester Inland Fish Market,"£699,419.01","£699,419.01",FEF0995
City of London Corporation Billingsgate Market,Billingsgate market Roof Renewal,"£379,180.42", £-   ,FEF0997
Southend Borough Council,Leigh Creek Buoyage,"£2,619.50","£2,619.50",FEF1020
Blue Marine Foundation,Fully Documented Fisheries - Lyme Bay,"£40,600.00","£40,600.00",FEF1007
Severn Rivers Trust,Dinham Weir Access Improvements,"£100,000.09", £-   ,FEF1032
Blue Marine Foundation,LYME BAY MPA _Beer port improvements,"£11,198.00", £-   ,FEF1047
Blue Marine Foundation,LYME BAY MPA _Axmouth port improvements,"£18,878.27", £-   ,FEF1076
Blue Marine Foundation,LYME BAY MPA _West Bay port improvements,"£12,266.56", £-   ,FEF1077
Blue Marine Foundation,LYME BAY MPA – Lyme Regis Port Improvements,"£19,304.27", £-   ,FEF1078
Dorset hand line fishermans association,System JFR,"£1,963.90","£1,963.90",FEF1081
Weymouth & portland fishermans & licensed boatmens,System JFR,£928.79,£928.79,FEF1082
Brixham Trawler Agents Ltd,Ice Plant Renewal,"£187,013.30","£187,013.30",FEF1112
NFFO Limited,Supporting risk based assessments of fisheries for MPAs,"£58,718.08", £-   ,FEF1124
Severn Rivers Trust,Lingen bridge access improvements,"£50,000.00","£50,000.00",FEF1127
North Devon District Council,"The Cove Improvements, Ilfracombe (Fishermen's Stores)","£289,001.90", £-   ,FEF1147
Scarborough Borough Council,WHITBY LANDING DAVIT,"£8,565.00", £-   ,FEF1154
Hartlepool Fish Co Limited,Landing berths,"£12,274.26","£12,274.26",FEF1225
Sustain: The alliance for better food and farming,Sustainable fish Universities,"£19,676.60","£19,676.60",FEF1164
CEFAS,Shark By-Watch 2 - Understanding by-catch of elasmobranchs in UK Waters,"£150,129.00", £-   ,FEF1169
thanet district council,ramsgate harbour eastern outer marina - replacement pontoons,"£162,762.95", £-   ,FEF1214
barrow and furness fishermens association,Barrow ice plant,"£9,444.75","£9,444.75",FEF1216
Grimsby Fish Dock Enterprises Ltd,Fishing vessel ice delivery and land facilities,"£116,790.50","£116,790.50",FEF1217
Sea Fish Industry Authority,New Entrant Training,"£158,625.00","£141,176.25",FEF1325
East Riding of Yorkshire Council,,"£356,259.41", £-   ,FEF1326
Teignmouth District Council,New Fish Quay Teignmouth,"£443,637.26", £-   ,FEF1334
Scarborough Borough Council,Whitby Fish Quay Pile Protection Works,"£190,299.00", £-   ,FEF1339
North Sunderland Harbour Commissioners,upgrade of harbour lighting and power supplies,"£5,061.75","£5,061.75",FEF1340
POOLE HARBOUR COMMISSIONERS,fishermans dock - landing pontoons,"£21,528.00","£21,528.00",FEF1368
The Environment Agency,Rye Harbour Pontoon Moorings,"£112,500.00", £-   ,FEF1451
Devon & Severn IIFCA,IVMS - Enabling monitored Inshore Fisheries across the mobile fleet licenced to the Devon & Severn,"£38,480.20","£38,480.20",FEF1413
the great grimsby seafood village,SEAFOOD SKILLS TRAINING FACILITY,"£7,007.48","£7,007.48",FEF1425
Sutton Harbour Holdings PLC,Upgrade of Chiller,"£81,406.47","£81,406.47",FEF1449
Sea Fish Industry Authority,Personal Flotation Devices for Fishermen in England,"£255,209.00", £-   ,FEF1461
succorfish m2m,AIS INTEGRATION INTO SC2 VMS DEVICE FOR INCREASED SAFETY AT SEA,"£34,355.12","£2,192.88",FEF1520
PLYMOUTH TRAWLER AGENTS,GRADER UPGRADE,"£21,268.22","£1,119.38",FEF1618
SIFCA,bair dragging,"£33,243.80", £-   ,FEF1629
Tyne Rivers Trust,,"£32,726.80","£1,722.46",FEF1631
Sutton Harbour Holdings,Quayside Electrical and Water upgrade,"£16,744.92","£16,744.92",FEF1662
National Federation of Fishermen's Organisations,Safety Equipment,"£28,140.88","£1,481.10",FEF1755
Weymouth and Portland Borough Council,Replace pontoons and water supplies for Fishermens pontoons.,"£6,384.25",£336.07,FEF1756
city of london corporation,sweeper vehicle - billingsgate market,"£32,879.00", £-   ,FEF1785
Scarborough & Filey Fishermans Assoc,Installing ivms on local vehicles,"£6,110.40",£321.60,FEF1791
city of london corporation,scrubber machine - billingsgate market,"£10,870.45", £-   ,FEF1796
Warkworth Harbour Commissioners,Fishermen's Storage Units,"£47,183.75","£2,483.36",FEF1797
NFFO,Inshore VMS Equipment Project,"£11,086.62",£583.51,FEF1804
,,,,
Axis 4 - Sustainable development of fisheries areas,,,,
,,,,
Beneficiary,Project title, EFF Grant , MMO Grant ,Ref
The Princes Trust,Get into Commercial Sea Fishing,"£18,740.22","£18,740.22",FEF1118
North Norfolk Business Forum,Research into Blakeney Harbour Silting Problem,£566.50,£566.50,FEF1119
Blakewell Fisheries,Blakewell Development Phase 1,£752.50,£752.50,FEF1120
North Norfolk District Council,Sheringham West Gangway,"£47,630.61","£47,644.13",FEF1549
Torridge District Council,North Devon Fish Supply Chain Study,"£5,424.50","£5,424.50",FEF0766
Ilfracombe Academy,Ilfracombe Arts Week,£500.00,£500.00,FEF1071
The Eggtooth Project,The Sea Around Us - Pilot Project,"£1,187.40","£1,187.40",FEF1073
Whitehaven Harbour Commissioners,Local Supply and demand project,"£8,100.00","£8,100.00",FEF0793
Bridlington Harbour Commissioners,Improved Berthing Facilities for Lesiure Craft at Bridlington Harbour,"£24,502.90","£24,502.90",FEF0795
Whitehaven Fishermen's Co-operative Limited,Fishermen's Co-operative Business Development,"£15,000.00","£15,000.00",
Yorkshire Wildlife Trust,Yorkshire Living Sea - Pilot Programme,"£10,660.02","£10,660.02",FEF0799
WCDA,Business Start up support (Linkstart for FLAG area),£746.66,£746.66,FEF0797
Whitehaven Harbour Commissioners,Whitehaven Marina Enhancement Scheme - Phase 1,"£70,000.14","£70,000.14",FEF0798
Royal National Mission to Deep Sea Fishermen,Fishing Communities Support Network,"£5,120.82","£5,120.82",FEF0800
North Norfolk FLAG,Business Support (Management / Administration Costs).,"£34,419.92","£34,419.92",FEF0802
Maryport Fishing Company,Maryport Ice & Chill,"£12,623.31","£12,623.31",FEF1260
Copeland Borough Council,Copeland Coastal Interpretation,"£10,935.49","£10,935.49",FEF1261
Old Hastings Preservation Society,Our Fishing Heritage,"£12,043.04","£12,043.04",FEF1315
Ilfracombe Aquarium,Ilfracombe Aquarium Development Phase 1,"£3,271.63","£3,271.63",FEF1349
North Devon Moving Image CIC,Boat Stories,"£16,870.65","£16,870.65",FEF1351
NEIFCA,Holderness Cost Escape Gaps,"£2,980.15","£2,980.15",FEF0804
Humber NHS Foundation Trust,Health trainer for Fishermen,"£8,880.00","£8,880.00",FEF0805
Bridlington Old Town Association,Linked East Yorkshire Coastal festivals - Bridlington Old Town Festival,£180.00,£180.00,FEF0806
North & West Cumbria,M&A,"£83,519.30","£83,519.30",FEF0807
CASALF,Coast 2012,"£3,002.40","£3,002.40",FEF0816
Bridlington Harbour Commissioners,Bridlington Seafood Festival,£166.39,£166.39,FEF0809
The Solway Trust,Maryport Harbour Festival,"£2,946.00","£2,946.00",FEF0812
NWC FLAG,FLAG exchange visits fund,"£7,196.57","£7,196.57",FEF0813
Whitehaven harbour Commissioners,Whitehaven Landing Fees and fisheries liaison,"£4,772.80","£4,772.80",FEF0814
North and West Cumbria FLAG,Governance Training,£798.60,£798.60,FEF0815
Holderness Coast Fishing Industry Group,Holderness Coast Research Boat,"£45,000.00","£45,000.00",FEF0919
West Cumbria Development Agency,Business support - Backing business for the FLAG area,"£4,905.16","£4,905.16",FEF0920
Maryport Harbour & Marina Limited,Maryport Harbour Rescue Station Redevelopment.,"£23,621.76","£23,621.76",FEF0840
Whitehaven Festival Company,Celebrity Chef Recipe Book,"£33,499.96","£33,499.96",FEF0847
Withernsea Town Council,Withernsea Festival,£432.00,£432.00,FEF0848
Hornsea Carnival Committee,Hornsea carnival,£971.30,£971.30,FEF0852
Wells carnival committee,Wells Carnival,"£1,079.01","£1,079.01",FEF0853
Whitehaven Fishermens Cooperative Ltd,WFC Fuel Distribution,"£21,547.41","£21,547.41",FEF1012
Phoenix Enterprise Centre,Fisheries Response Fund,"£16,692.65","£16,692.65",FEF0905
Whitby & District Fishing Industry Training School,HOLDERNESS SEA FISHING APPRENTICESHIP SCHEME,"£28,082.72","£28,082.72",FEF0906
Ilfracombe & District Tourism Association,Ilfracombe Fish Trail,"£3,455.04","£3,455.04",FEF0907
Yorkshire Wildlife Trust,Yorkshire's Living Sea - Full Programme,"£80,636.88","£80,636.88",FEF0908
North Norfolk Business Forum,Business Directory,"£12,415.49","£12,415.49",FEF0910
Whitby & District Fishing Industry Training School,North & West Cumbria Sea Fishing Apprenticeship Scheme,"£62,875.39","£62,875.39",FEF0914
Brancaster Fairways commitee,Brancaster Harbour Buoys,"£3,034.62","£3,034.62",FEF0917
Copeland Borough Council,Gone Fishing,"£32,123.11","£32,123.11",FEF0918
Hastings Fishermens Protection Society,Hastings Shingle Project,"£20,125.01","£20,125.01",FEF0923
Holderness Coast FLAG,Management and Admin costs,"£90,000.00","£90,000.00",FEF0924
North Devon +,Seafood and Festivals,"£52,197.64","£52,197.64",FEF0941
Hastings Borough Council,,"£2,750.00","£2,750.00",FEF0945
North Devon +,North Devon FLAG 10% M & A,"£52,500.00","£52,500.00",FEF0946
Hornsea United Reform Church,Local food & Healthy Living centre,"£14,459.10","£14,459.10",FEF0947
East Riding of Yorkshire Council,Holderness Coast Animator,"£36,191.80","£36,191.80",FEF0957
North and West Cumbria FLAG,Cumbrian Seafood Brand Creation,"£23,334.95","£23,334.95",FEF0967
Whitehaven Fishermens Cooperative Ltd,WFC Exchange Visit to Anglo North Irish Fish Producers Organisation,£416.72,£416.72,FEF0971
East Yorkshire Council,Options for Fishing Enterprises,"£49,948.97","£49,948.97",FEF0985
North East IFCA,Finfish Strategic Environmental Assessment,"£7,460.00","£7,460.00",FEF0987
Independant Shellfishermens Cooperative Brid'n Ltd,Pot Bases,"£29,994.47","£29,994.47",FEF0988
Maritime History Trust,Seawards Heritage,"£8,281.99","£8,281.99",FEF0989
Harbour Navigation Authority,Improvement of Buoyage to Blakeney Harbour,"£8,166.22","£8,166.22",FEF0998
Crab & Lobster Festival Ltd,Cromer and Sheringham Crab & Lobster Festival,"£7,005.31","£7,005.31",FEF1003
Holderness Coast FLAG,Holderness Coast FLAG Promotional Web Site,"£2,940.00","£2,940.00",FEF1005
Hastings Borough Council,Hastings FLAG Animator,"£23,767.13","£23,767.13",FEF1008
Hastings Fish Market Enterprises Ltd,Hastings Fishmarket Improvement,"£9,522.40","£9,522.40",FEF1009
North Devon District Council,Ilfracombe The Cove Improvements Phase 1,"£3,820.00","£3,820.00",FEF1010
Haig colliery mining museum,Haig colliery mining museum visitor centre,"£45,953.60","£45,953.60",FEF1013
Whitehaven Fishermens Cooperative Ltd,WFC Office Start Up,"£14,539.15","£14,539.15",FEF1014
NNFS,Personal locator beacons,"£3,179.20","£3,179.20",FEF1042
Bristol Channel Charters Ltd,Ilfracombe Sea Safari,"£7,500.00","£7,500.00",FEF1025
Coombe Fisheries,Shellfish washing line,"£6,444.20","£6,444.20",FEF1027
well maltings trust,north norfolk flag fishing heritage and visitor centre - wells maltings,"£21,809.69","£21,809.78",FEF1033
rescue wooden boats,north norfolk flag fishing heritage and visitor centre - stiffkey old military camp,"£4,991.83","£4,991.83",FEF1035
North Norfolk Business Forum,Animator funding for 2013,"£22,800.00","£22,800.00",FEF1044
withernsea ladies musical society (WLMS),Voices of the sea,£286.07,£286.07,FEF1053
east yorkshire local food network (eylfn),enjoy seafood from the east yorkshire coast,"£17,588.89","£17,588.89",FEF1054
logistics Institute,Crab meat yield sensor feasibility study,"£2,919.18","£2,919.18",FEF1055
Hornsea school & language college,Holderness Coast FLAG Education Resources,"£6,125.00","£6,125.00",FEF1057
Maryport Fishing Company,Maryport FishingCompany Distribution,"£9,988.50","£9,988.50",FEF1063
North and West Cumbria FLAG,FLAG Animator Services 2013/2014,"£15,490.03","£15,490.03",FEF1088
The Lake District Coast Aquarium,The Lake District Aquarium Expansion,"£38,107.82","£38,107.82",FEF1090
Torridge Oysters and Mussels,Torridge Oysters and Mussels,"£1,561.78","£1,561.78",FEF1094
Compass Rose Shell Fisheries Ltd,Compass Rose - Safety Improvements,"£1,327.83","£1,327.83",FEF1095
North Devon +,Flag Development Project - Animator,"£24,320.57","£24,320.57",FEF1104
North Devon Theatres Trust,Fishing for History,"£46,574.13","£46,574.13",FEF1108
Yorkshire & Humber fishermens training association,15 Day Introductory Course to the Maritime Industry,"£28,538.38","£28,538.38",FEF1126
Withernsea Town Council,Withernsea 2013 Shellfish Festival,£777.00,£777.00,FEF1136
Take Thyme,Take Thyme Outside Expansion,£588.19,£588.19,FEF1141
Whitehaven Fishermens Cooperative Ltd,Fishermen's Training,"£4,829.43","£4,829.43",FEF1157
Bridlington Harbour Commissioners,Replacement Davit,"£4,240.00","£4,240.00",FEF1166
Whitehaven Fishermens Cooperative,Whitehaven Fishermen's Coop Distribution project,"£15,031.49","£15,031.49",FEF1176
Petroc,Tipping the Scales,"£19,225.70","£19,225.70",FEF1183
Trustees of Ilfracombe Museum,Science at the Seaside: Pleasure-Hunts in North Devon,"£11,975.31","£11,975.31",FEF1182
North Devon District Council,Ilfracombe Watersports Centre Phase 1,"£9,812.13","£9,812.13",FEF1189
River Torridge Fishery Association,River Torridge spawning gravel project,"£2,574.18","£2,574.18",FEF1201
the salvation army,Loaves & Fishes,"£9,984.12","£9,984.12",FEF1202
Hastings Fishermens Protection Society,Art on the Stade,"£3,004.89","£3,004.89",FEF1203
Pennington Hotels,Holly House Inn Redevelopment Project,"£13,285.61","£13,285.61",FEF1206
North East IFCA,The Deep,"£3,000.00","£3,000.00",
Hastings Fishermens Protection Society,Net Flakers,"£10,997.50","£10,997.50",FEF1209
East Hastings Sea Angling Association,Strengthening Sea Angling,"£4,449.79","£4,449.79",FEF1213
the bridge trust trading as NWES world or work NEW,net 2 plate,"£59,758.52","£59,758.52",FEF1388
Maryport Extended Schools Partnership,The Fisherman's Tale,"£3,110.48","£3,110.48",FEF1231
exmoor coast boat cruises ltd,baleana/october morning,"£6,087.38","£6,087.38",FEF1236
Bideford & District angling & Social club,Tarka Swims - phase II developments,"£4,822.63","£4,822.65",FEF1240
North Devon District Council,Illfracombe Pier Maritime Facilities Design (Project Development),"£5,136.75","£5,136.75",FEF1243
A N Other,naturalisation of vellator quay,"£30,235.65","£30,235.65",FEF1253
Hastings Borough Council,Fish Fairs and Promotion,"£7,252.01","£7,252.01",FEF1254
Hastings Fishermens Protection Society, Building Capacity in Hastings Fishermen’s Protection Society,"£11,086.70","£11,086.70",FEF1255
Whitehaven Harbour Commissioners,Whitehaven Ice Plant & Associated Facilities,"£49,042.38","£49,042.38",FEF1256
Philip Dennis Foodservice,Lundy Fish,"£2,684.80","£2,684.80",FEF1258
Quondam Arts Trust,Fishermens Apprentice,"£12,522.70","£12,522.70",FEF1259
Hastings Borough Council,The Stade - Classroom on the Coast,"£64,328.11","£64,328.11",FEF1266
Eat Yorkshire Council,Market for Holderness Coast Seafood Study,"£9,900.00","£9,900.00",FEF1274
Sussex Coast College Hastings,Fishing Pathways,"£29,541.50","£29,541.50",FEF1279
Rock-A-Nore Fisheries,Rock-A-Nore Fish Smokers,"£5,990.48","£5,990.48",FEF1282
Hastings Borough Council,Eco-Stade,"£62,319.18","£62,319.18",FEF1283
Bideford Town Council,bideford port memorial,"£22,572.25","£22,572.25",FEF1287
Groundwork North East & Cumbria,Haverigg Foreshore Footpath & Childrens Art Trail,"£15,000.01","£15,000.01",FEF1292
Hastings Borough Council,fishing beach improvement programme - part 1 the winch road upgrade,"£56,217.52","£56,217.52",FEF1294
Hastings Borough Council,fishing beach improvement programme - fishermens fuel tank replacement,"£5,562.73","£5,562.73",FEF1296
Bridlington Harbour Commissioners,Fish Quay Resurfacing South Pier,"£3,100.25","£3,100.25",FEF1298
Groundwork South,Boat conservation and maintenance training initiative,"£39,053.70","£39,053.70",FEF1316
Hastings Fishermens Protection Society,Hastings Fishing Beach Improvement Programme - Part 3 - Winch Sheds,"£40,398.79","£40,398.79",FEF1317
A N Other,,"£36,819.78","£36,819.78",FEF1319
Yorkshire Wildlife Trust,Living Seas Centre Extension,"£64,560.36","£64,560.36",FEF1321
A N Other,,"£1,224.60","£1,224.60",FEF1328
Surfers against Sewage,Sustainable Coastal Communities - SAS Education Programme 2014,"£1,953.63","£1,953.63",FEF1331
East Riding of Yorkshire Council,Hornsea Boat Compound and Environs Redevelopment Phase 1: Development of the Scheme to RIBA Stage D,"£14,075.00","£14,075.00",FEF1342
Hornsea Museum,Hornsea Museum Coastal Industries Project,"£31,542.29","£31,542.29",FEF1344
NNFS,Beach tractors on Cromer beach,"£4,770.00","£4,770.00",FEF1356
Women's Voice,Global Kitchen,"£2,901.96","£2,901.96",FEF1358
A N Other,Replacement Outboard Motor,£866.50,£866.50,FEF1359
Matthews Shellfish,Development of West Runton seafood bar,"£28,404.62","£28,404.62",FEF1360
East Riding of Yorkshire Council,Withernsea Commercial Fishing Boat Compound Landscaping Scheme,"£23,863.82","£23,863.82",FEF1375
Events 4 Ilfracombe,Ifracombe Tourism Development,"£8,504.14","£8,504.16",FEF1376
Jonas Seafoods,Jonas cooling/dehumidifier plant,"£2,771.80","£2,771.80",FEF1382
ilfracombe and north devon sub aqua club,NITORX BLENDING EQUIPMENT AND COMPRESSOR,"£12,044.35","£12,044.35",FEF1389
north devon areas of outstanding natural  beauty,clean marine,"£16,466.88","£16,466.88",FEF1390
Hastings Borough Council,Management & Admin Costs,"£48,150.00","£48,150.00",FEF1447
J&S Fishing Ltd,Ceol-Na-Mara B Spider Crabs,"£2,579.40","£2,579.40",FEF1478
Ilfracombe Aquarium,Ilfracombe Aquarium Developments Phase II,"£6,992.15","£6,992.15",FEF1515
Diamond Publications Ltd,Get Hooked On the go,"£4,230.00","£4,230.00",FEF1532
Whitehaven Fishermens Cooperative Ltd,Dry Secure Storage,"£7,432.22","£7,432.22",FEF1538
McGuirk Fishing,Vessel Deck Machinery,"£2,852.00","£2,852.00",FEF1539
NEIFCA,Acoustic deterrent system,"£1,750.00","£1,750.00",FEF1540
Independent Shellfishermens Cooperative Ltd,pot bases 2,"£14,993.63","£14,993.63",FEF1541
NWC Flag,Internship 2014,"£1,998.81","£1,998.81",FEF1550
Hornsea Inshore Rescue,Hornsea Rescue Sea Safe Centre,"£47,564.02","£47,564.02",FEF1557
Torridge District Council,Appledore Fish Dock Flake Ice Machines,"£26,487.44","£26,487.44",FEF1565
NWC FLAG,Local Supply Chain,"£28,460.75","£28,460.75",FEF1586
Appledore Sub-Aqua Club,Replace Diving Boat Engine ASAC,"£4,431.24","£4,431.24",FEF1592
Lynton & Lynmouth Town Council,Enhancement of Lynmouth Harbour,"£12,591.51","£12,591.56",FEF1602
The Eskdale (Cumbria) Trust,Ravenglass & Eskdale Railway Museum Phase 1,"£37,118.37","£37,118.37",FEF1634
Allerdale Borough Council,Maritime Maryport as a Tourist Destination,"£3,676.10","£3,676.10",FEF1672
Whitehaven Harbour Youth Project (WHYP),Coastal Sport and Recreation,"£10,505.88","£10,505.88",FEF1677
North West Cumbria FLAG,FLAG Applicant Support Services 2014/15,"£11,974.00","£11,974.00",FEF1680
Carlisle Leisure Limited,The Cave at the Wave,"£17,600.00","£17,600.00",FEF1684
Devon Wildlife Trust,Riverfly Monitoring Project,"£1,459.36","£1,459.36",FEF1691
Hastings Borough Council,Maintaining MSC Certification for the Hastings Fisheries,"£13,215.00","£13,215.00",FEF1696
Hastings Borough Council,Following the Herring,"£9,286.15","£9,286.15",FEF1698
Donnan Quayside Fisheries,Fish Delivery Van,"£5,089.00","£5,089.00",FEF1700
North & West Cumbria FLAG Limited,FLAG Publication,"£2,266.68","£2,266.68",FEF1701
Northern Devon Areas of Outstanding Natural Beauty,North Devon Aquaculture Centre,"£5,757.00","£5,757.00",FEF1702
Seadog,Seadog - Business Start-Up & Development Costs,"£1,875.30","£1,875.30",FEF1703
River Taw Fisheries Association,"Taw, Trash & Gravels","£1,973.58","£1,973.58",FEF1704
North Devon Fishermen's Association,NDFA Publicity,£451.45,£451.45,FEF1708
The Clovelly Estate Co Ltd,Clovelly Fishermens Cellars - Cold Room and Ice Machine,"£4,371.88","£4,371.88",FEF1711
North Devon +,Coastal & Marine Tourism Development,"£22,777.61","£22,777.61",FEF1713
Torridge District Council,Buck Mills Slipway & Beach Access,"£20,500.00","£20,500.00",FEF1714
North Devon District Council,Ilfracombe/Swansea Ferry Business Case Information,"£4,743.75","£4,743.75",FEF1717
North Devon Council,Marine Sites Development,"£11,099.50","£11,099.50",FEF1718
Royal Yorkshire Yacht Club,Access to Sailing,"£20,003.94","£20,003.94",FEF1719
Arnolds Fisheries,Operation Boiler,"£7,611.85","£7,611.85",FEF1783
UEA Consulting Ltd,Provision of evidence on sustainability of N. Norfolk Fisheries and its interactions with wind farms,"£20,679.00","£20,679.00",FEF1721
East Riding of Yorkshire Council,Sea Change,"£7,500.00","£7,500.00",FEF1025
GWS Seafood Ltd,GWS Seafoods,"£17,658.56","£17,658.56",FEF1727
Holderness Fishing Industry Group,HFIG Survey Equipment,"£10,641.85","£10,641.85",FEF1733
Holderness Fisheries Local Action Group,Hornsea Escape Gaps 2,"£8,437.00","£8,437.00",FEF1734
Roger Madsen Limited,Easington Fishing Compound Relocation,"£2,499.99","£2,499.99",FEF1735
Holderness Fishing Industry Group,Fishing Activity Monitoring Project,"£17,802.00","£17,802.00",FEF1736
East Riding of Yorkshire Council,Bridlington Maritime Trail Revision,"£34,946.54","£34,946.54",FEF1737
Bridlington Harbour Commissioners,"Enhancement of Crane Wharf 
Restoring Crane Wharf East Steps.","£12,502.78","£12,496.51",FEF1738
Sea Cat H1134,Fishing Vessel Safety Equipment,£501.99,£501.99,FEF1740
A N Other,Hornsea Fish Boxes,£387.00,£387.00,FEF1741
Maritime History Trust,Seawards Heritage II: Raising Cultural Awareness of East Yorkshire’s Maritime Past,"£9,722.49","£9,722.49",FEF1742
Yorkshire Wildlife Trust,Fishing for Litter - Holderness,"£5,643.15","£5,643.15",FEF1754
East Riding of Yorkshire Council,Holderness Coast FLAG Implementation & Review Officer,"£20,494.00","£20,494.00",FEF1776
T & T Shellfish Ltd,T & T Shellfish Storage,"£1,377.49","£1,377.49",FEF1813
North Norfolk District Council,Management & Admin,"£27,881.57","£27,881.57",FEF1817
Devon and Severn Inshore Fisheries Conservation,`Skate Monitoring Pilot Study,"£4,789.52","£4,789.54",FEF1819
Bristol Channel Charters Limited,Ilfracombe/Swansea Ferry Design,"£1,000.00","£1,000.00",FEF0652
National Trust,Morston Quay Path Upgrades,"£15,374.37","£15,374.37",FEF1834
North Norfolk District Council,North Norfolk Beach Ramps Access Project,"£78,998.72","£78,998.72",FEF1835
North Norfolk Fisheries Local Action Group,A Day in the life of a North Norfolk Fisherman,"£6,467.72","£6,467.72",FEF1836
